name,operator,lat,lon,state,city,county
CoreSite DC1,CoreSite,38.9028879,-77.0291491,District of Columbia,Washington,
Southwest Cyberport,,35.1032925,-106.5893487,NM,Albuquerque,Bernalillo County
FCR,,42.4378824,-123.3286299,OR,Grants Pass,Josephine County
SDSU Computer Room,,32.7750252,-117.070888,California,San Diego,San Diego County
NocRoom Miami IT Services,,25.7915453,-80.3177484,Florida,,Miami-Dade County
NocRoom Miami IT Services,,25.6465617,-80.4234346,Florida,,Miami-Dade County
Center for Computation & Technology (CCT),,30.407446,-91.1725454,Louisiana,Baton Rouge,East Baton Rouge Parish
The Pittock Internet Exchange,Alco Properties,45.5214248,-122.680562,OR,Portland,Multnomah County
Google Fiber,Google,33.7715677,-84.3668585,Georgia,Atlanta,Fulton County
Open Computing Facility,,37.8698521,-122.2598231,California,Berkeley,Alameda County
Lumos Networks,,37.415688,-79.1427063,Virginia,Lynchburg,
Rack59 Data Center,,35.4672049,-97.6497453,OK,Oklahoma CIty,Oklahoma County
Oso Grande,Oso Grande,35.0925015,-106.6536712,NM,Albuquerque,Bernalillo County
Switch Tahoe Reno - The Citadel Campus,Switch,39.5140963,-119.4795921,NV,McCarran,Storey County
Morgan Wireless,,39.6309851,-78.2253196,WV,Bath (Berkeley Springs),Morgan County
VIRTBIZ,,32.7825463,-96.7828145,TX,Dallas,Dallas County
FirstLight Data Center,FirstLight,43.6578388,-70.2613785,ME,Portland,Cumberland County
Learning GIS!,,40.42179,-86.9141546,Indiana,West Lafayette,Tippecanoe County
Agricultural and Biological Engineering,,40.4218543,-86.9165454,Indiana,West Lafayette,Tippecanoe County
Windstream Communications,,35.881397,-78.851552,NC,Durham,Durham County
Level 3 Communications,,35.881364,-78.8515726,NC,Durham,Durham County
OptimumHQ,,33.3804149,-111.7526684,AZ,Mesa,Maricopa County
The Chatfield Group,,33.380601,-111.7528888,AZ,Mesa,Maricopa County
All About Serving Process Server,,33.3199157,-111.809686,AZ,Chandler,Maricopa County
Emailage,,33.302965,-111.8405386,Arizona,Chandler,Maricopa County
Alliance Technology,,33.3799862,-111.728405,AZ,Mesa,Maricopa County
8100 Boone Boulevard,Digital Realty,38.9137236,-77.2258825,Virginia,Tysons,Fairfax County
HiPerGator,University of Florida,29.6728187,-82.2997617,Florida,Gainesville,Alachua County
Atlanta ATL13,Digital Realty,33.7555186,-84.3914814,GA,Atlanta,Fulton County
Data Holdings Data Center,,43.0439408,-87.9539794,WI,Milwaukee,Milwaukee County
STACK Infrastructure,"Stack Infrastructure, Incorporated",37.4027449,-121.891051,CA,San Jose,Santa Clara County
STACK Infrastructure,"Stack Infrastructure, Incorporated",37.4026341,-121.891057,CA,San Jose,Santa Clara County
Digital West Data Center,,35.2553162,-120.6415128,California,San Luis Obispo,San Luis Obispo County
Chick-fil-A Hiring Center,Dennis Sampier,42.6279424,-82.9883939,Michigan,Sterling Heights,Macomb County
Ergonomic Group,,41.7070776,-72.5898636,CT,Glastonbury,Capitol Planning Region
San Jose Colocation Center,CoreSite,37.3341181,-121.891646,CA,San Jose,Santa Clara County
Amazon Web Services IAD69,Amazon Web Services,39.0254851,-77.4146998,Virginia,Dulles Town Center,Loudoun County
Stream Data Centers Houston,,30.1781365,-95.4860464,TX,The Woodlands,Montgomery County
Crown Castle Baltimore,Crown Castle Fiber,39.2877017,-76.6064893,MD,Baltimore,
AiNET One Market Center,AiNET,39.2917583,-76.6203737,MD,Baltimore,
Lumen McLean,Lumen Technologies,38.9208538,-77.2115713,VA,McLean,Fairfax County
TierPoint Milwaukee,,43.0093779,-87.9610618,Wisconsin,Milwaukee,Milwaukee County
Frontier Science,,42.9902011,-78.8123836,NY,Amherst,Erie County
505 Marquette,,35.0886289,-106.6526456,NM,Albuquerque,Bernalillo County
123 Central,bigbyte.cc,35.0844494,-106.6489853,NM,Albuquerque,Bernalillo County
,,39.1011816,-94.5788209,Missouri,Kansas City,Jackson County
Netrality Data Centers,,39.1009071,-94.5811452,MO,Kansas City,Jackson County
Microsoft,Microsoft,18.4174359,-66.1089895,PR,Guaynabo,Guaynabo
Netrality,Netrality,41.8728811,-87.63344,IL,Chicago,Cook County
Brandaleone Lab for Data and Visualization,Duke Libraries,36.0030993,-78.9385323,North Carolina,Durham,Durham County
Frontier (supercomputer),Oak Ridge National Laboratory,35.9295133,-84.310567,Tennessee,Oak Ridge,Roane County
,Ntirety,37.7796531,-122.3940005,CA,San Francisco,
VaultLogix,,33.627367,-111.9017033,Arizona,Scottsdale,Maricopa County
Profit Finder Pro Software,,33.6272477,-111.9020476,Arizona,Scottsdale,Maricopa County
DataPro USA Web Development,,33.6116624,-111.9139825,Arizona,Scottsdale,Maricopa County
e360,,37.9710809,-122.0437382,CA,Concord,Contra Costa County
Digital Realty ORD10,Digital Realty,41.8533507,-87.6183067,IL,Chicago,Cook County
Centersquare Chicago Data Center - ORD1,Centersquare,41.8533827,-87.6186071,IL,Chicago,Cook County
K-Motion Interactive,,33.6344843,-111.8843457,Arizona,Scottsdale,Maricopa County
West Monroe,,41.8805271,-87.6359383,Illinois,Chicago,Cook County
Iron Mountain Data Centers AZS-1,,33.6446663,-111.8960985,Arizona,Scottsdale,Maricopa County
CoreSite Chicago Data Center (CH1),CoreSite,41.8759405,-87.6314655,IL,Chicago,Cook County
Accelera Data Systems,,33.6647455,-112.1117142,Arizona,Phoenix,Maricopa County
Expedient Owings Mills,Expedient,39.4273178,-76.8115503,MD,Owings Mills,Baltimore County
Lumen Baltimore,Lumen Technologies,39.2917592,-76.6204024,Maryland,Baltimore,
Expedient Tidepoint,Expedient,39.2746554,-76.5916709,Maryland,Baltimore,
Flexential - Denver - Centennial Data Center,Flexential,39.5938733,-104.8431597,CO,Centennial,Arapahoe County
EarthClick.net LLC,,43.7971554,-123.0559456,OR,Cottage Grove,Lane County
EdgeConneX Data Center,EdgeConneX,33.3955855,-111.9700762,Arizona,Tempe,Maricopa County
,,41.8072817,-83.6276287,Michigan,Bedford Township,Monroe County
IT,,33.9102899,-117.5030207,California,Riverside,Riverside County
"Alembic Computer Services, Inc.",,33.4051307,-111.9773353,Arizona,Tempe,Maricopa County
J-Curve Technologies,,33.4131856,-111.9711539,Arizona,Tempe,Maricopa County
Flexential Cincinnati,Flexential,39.3159313,-84.4494638,OH,West Chester,Butler County
Flexential Denver - Downtown,Flexential,39.7459702,-104.9941589,CO,Denver,
Flexential Dallas - Downtown Dallas,Flexential,32.8004101,-96.8193707,TX,Dallas,Dallas County
Flexential Jacksonville,Flexential,30.2457482,-81.5817226,FL,Jacksonville,Duval County
Flexential - Denver - Aurora,Flexential,39.6610488,-104.8488321,CO,Aurora,Arapahoe County
Flexential Nashville - Brentwood,Flexential,35.9727294,-86.8084949,TN,Brentwood,Williamson County
Flexential Raleigh,Flexential,35.8505281,-78.8291431,NC,Morrisville,Wake County
Flexential Tampa - West,Flexential,28.0372991,-82.5399781,FL,Tampa,Hillsborough County
Flexential Salt Lake City - Lindon,Flexential,40.332648,-111.7278754,UT,Lindon,Utah County
Digital Realty New York JFK13,Digital Realty,40.719928,-74.0044583,NY,New York,New York County
Digital Realty New York JFK12,Digital Realty,40.7176766,-74.0084414,NY,New York,New York County
CoreSite AT1,CoreSite,33.7559857,-84.3911712,GA,Atlanta,Fulton County
UNM Data Center,UNM,35.0867385,-106.6153476,NM,Albuquerque,Bernalillo County
Prime Santa Clara,Prime,37.3666621,-121.9628653,California,Santa Clara,Santa Clara County
Open Data Centers Piscataway,,40.5503501,-74.4568563,New Jersey,Piscataway Township,Middlesex County
H5 Secaucus,H5,40.7853948,-74.0750122,New Jersey,Secaucus,Hudson County
"Forescout Technologies, Inc.",,37.3228675,-121.9474176,CA,San Jose,Santa Clara County
Lumen Albany 4,Lumen Technologies,42.7356308,-73.818665,NY,Albany,Albany County
Equinix Chicago Data Center - CH1,Equinix,41.8535578,-87.6180475,IL,Chicago,Cook County
501 West,,40.315558,-74.6688514,NJ,Princeton,Mercer County
Dataverge,Dataverge,40.6576957,-74.0048163,NY,Brooklyn,Kings County
TulsaConnect DC3,,36.0994735,-95.8382826,Oklahoma,Tulsa,Tulsa
Comarch,,33.3566787,-111.6352356,AZ,Mesa,Maricopa County
CoreSite - LA2,CoreSite,34.0584789,-118.2359144,CA,Los Angeles,Los Angeles County
Equinix,Equinix,39.0137917,-77.4537977,Virginia,Sterling,Loudoun County
NTT Ashburn VA7 Data Center,NTT,39.0160142,-77.471954,VA,Ashburn,Loudoun County
NTT VA11 Data Center,NTT,38.7999731,-77.6099636,VA,Gainesville,Prince William County
Lumen Madison 1 Data Center,Lumen Technologies,43.0677161,-89.3922794,Wisconsin,Madison,Dane County
Fiberhub LAS1,Fiberhub,36.0659405,-115.1398835,NV,Las Vegas,Clark County
DāStor: 3400 Horizon Drive,,40.0879189,-75.3397205,PA,King of Prussia,Montgomery County
Rad Web Hosting,,32.7784469,-96.798496,TX,Dallas,Dallas County
Alpha Federal,Alpha Innovations,38.3531768,-81.6961822,WV,South Charleston,Kanawha County
Parsec Data Management,,45.7430786,-108.6030144,Montana,Billings,Yellowstone County
Applied Digital,,46.9741721,-96.8739403,ND,Harwood,Cass County
Cyxtera Dallas-Fort Worth Data Center,Cyxtera,32.832716,-97.0410241,Texas,Fort Worth,Tarrant County
Equinix Infomart,Equinix,32.8009535,-96.8195234,TX,Dallas,Dallas County
CoreSite BO1,,42.3767059,-71.0797577,MA,Somerville,Middlesex County
USPO Terminal Annex,United States Postal Service,34.0581039,-118.2353939,CA,Los Angeles,Los Angeles County
DataBank,,32.7783107,-96.7984357,TX,Dallas,Dallas County
CyrusOne Cincinnati-Mason CIN3,CyrusOne,39.3038941,-84.3116127,Ohio,,Warren County
LightEdge SAN1,,32.8278941,-117.1299275,CA,San Diego,San Diego County
EdgeConneX San Diego,EdgeConneX,32.8423554,-117.1694226,CA,San Diego,San Diego County
